1
1
my compiler
(1553525377280322883,148954), (1553525377344841044,150498), (1553525377377311894,152005), (1553525377402507988,153553), (1553525377423872787,155067), (1553525377445241743,156621), (1553525377466556132,158133), (1553525377490088153,159677), (1553525377513176530,161189), (1553525377533482758,162742), (1553525377553719486,164242), (1553525377573946455,165794), (1553525377598769244,167300), (1553525377620138435,168850), (1553525377640418865,170386), (1553525377661654750,171935), (1553525377683873254,173487), (1553525377707796865,175009), (1553525377730625510,176545), (1553525377752147716,178052), (1553525377773693246,179600), (1553525377800224472,181114), (1553525377823865672,182668), (1553525377845559871,184180), (1553525377867158560,185724), (1553525377890846381,187236), (1553525377915484666,188789), (1553525377937860130,190289), (1553525377959474957,191841), (1553525377981033187,193347), (1553525378007083066,194897), (1553525378029932592,196433), (1553525378052739941,197977), (1553525378075517536,199491), (1553525378101625314,201039), (1553525378124480358,202546), (1553525378146809519,204098), (1553525378168397520,205620), (1553525378190809860,176622), (1553525378214263310,178129), (1553525378234588047,179677), (1553525378254935845,181191), (1553525378275244590,182881), (1553525378299605343,184429), (1553525378321243039,185943), (1553525378342668653,187497), (1553525378364048302,189009), (1553525378385427312,190553), (1553525378410331073,192065), (1553525378431748098,193618), (1553525378452212340,195118), (1553525378472444249,196670), (1553525378495177789,198176), (1553525378518530915,199726), (1553525378540497804,201262), (1553525378562192498,202806), (1553525378583575160,204320), (1553525378608407439,205868), (1553525378629799592,207375), (1553525378651186425,208927), (1553525378672755677,210481), (1553525378696972166,211995), (1553525378720890197,213549), (1553525378743699390,215061), (1553525378766225838,216605), (1553525378788245865,218117), (1553525378814078776,219670), (1553525378836874548,221170), (1553525378859657599,222722), (1553525378881574623,224228), (1553525378907236269,225778), (1553525378928857841,227314), (1553525378950465834,228858), (1553525378972038950,230372), (1553525378995720422,231920), (1553525379020138793,233427), (1553525379042960085,234979), (1553525379065719290,236501), (1553525379088585655,238037), (1553525379114641643,239544), (1553525379137507139,241092), (1553525379160344546,242606), (1553525379183179682,244160), (1553525379208469741,176540), (1553525379229953349,178084), (1553525379251468513,179596), (1553525379272896227,181149), (1553525379295884997,182649), (1553525379319266885,184201), (1553525379340761716,185707), (1553525379362228631,187257), (1553525379383633757,188793), (1553525379408497487,190337), (1553525379429962972,191851), (1553525379451414483,193399), (1553525379472756301,194906), (1553525379495480831,196458), (1553525379518956175,197980), (1553525379540356114,199516), (1553525379561797904,201023), (1553525379583175069,202571), (1553525379607976779,204085), (1553525379629444004,205639), (1553525379654343024,207151), (1553525379675966328,208695), (1553525379699296171,210207), (1553525379722303650,211760), (1553525379743727298,213260), (1553525379765174590,214812), (1553525379786576930,216318), (1553525379811692529,217868), (1553525379834481065,219416), (1553525379857250922,220914), (1553525379880057053,222467), (1553525379905353568,223998), (1553525379927712819,225542), (1553525379949325048,227049), (1553525379970926605,228597), (1553525379992562777,230111), (1553525380019343036,231665), 2.79

pho
(1553525377280322883,148954),
(1553525377344841044,150498),
(1553525377377311894,152005),
(1553525377402507988,153553),
(1553525377423872787,155067),
(1553525377445241743,156621),
(1553525377466556132,158133),
(1553525377490088153,159677),
(1553525377513176530,161189),
(1553525377533482758,162742),
(1553525377553719486,164242),
(1553525377573946455,165794),
(1553525377598769244,167300),
(1553525377620138435,168850),
(1553525377640418865,170386),
(1553525377661654750,171935),
(1553525377683873254,173487),
(1553525377707796865,175009),
(1553525377730625510,176545),
(1553525377752147716,178052),
(1553525377773693246,179600),
(1553525377800224472,181114),
(1553525377823865672,182668),
(1553525377845559871,184180),
(1553525377867158560,185724),
(1553525377890846381,187236),
(1553525377915484666,188789),
(1553525377937860130,190289),
(1553525377959474957,191841),
(1553525377981033187,193347),
(1553525378007083066,194897),
(1553525378029932592,196433),
(1553525378052739941,197977),
(1553525378075517536,199491),
(1553525378101625314,201039),
(1553525378124480358,202546),
(1553525378146809519,204098),
(1553525378168397520,205620),
(1553525378190809860,176622),
(1553525378214263310,178129),
(1553525378234588047,179677),
(1553525378254935845,181191),
(1553525378275244590,182881),
(1553525378299605343,184429),
(1553525378321243039,185943),
(1553525378342668653,187497),
(1553525378364048302,189009),
(1553525378385427312,190553),
(1553525378410331073,192065),
(1553525378431748098,193618),
(1553525378452212340,195118),
(1553525378472444249,196670),
(1553525378495177789,198176),
(1553525378518530915,199726),
(1553525378540497804,201262),
(1553525378562192498,202806),
(1553525378583575160,204320),
(1553525378608407439,205868),
(1553525378629799592,207375),
(1553525378651186425,208927),
(1553525378672755677,210481),
(1553525378696972166,211995),
(1553525378720890197,213549),
(1553525378743699390,215061),
(1553525378766225838,216605),
(1553525378788245865,218117),
(1553525378814078776,219670),
(1553525378836874548,221170),
(1553525378859657599,222722),
(1553525378881574623,224228),
(1553525378907236269,225778),
(1553525378928857841,227314),
(1553525378950465834,228858),
(1553525378972038950,230372),
(1553525378995720422,231920),
(1553525379020138793,233427),
(1553525379042960085,234979),
(1553525379065719290,236501),
(1553525379088585655,238037),
(1553525379114641643,239544),
(1553525379137507139,241092),
(1553525379160344546,242606),
(1553525379183179682,244160),
(1553525379208469741,176540),
(1553525379229953349,178084),
(1553525379251468513,179596),
(1553525379272896227,181149),
(1553525379295884997,182649),
(1553525379319266885,184201),
(1553525379340761716,185707),
(1553525379362228631,187257),
(1553525379383633757,188793),
(1553525379408497487,190337),
(1553525379429962972,191851),
(1553525379451414483,193399),
(1553525379472756301,194906),
(1553525379495480831,196458),
(1553525379518956175,197980),
(1553525379540356114,199516),
(1553525379561797904,201023),
(1553525379583175069,202571),
(1553525379607976779,204085),
(1553525379629444004,205639),
(1553525379654343024,207151),
(1553525379675966328,208695),
(1553525379699296171,210207),
(1553525379722303650,211760),
(1553525379743727298,213260),
(1553525379765174590,214812),
(1553525379786576930,216318),
(1553525379811692529,217868),
(1553525379834481065,219416),
